cate,num,num_sec,protect_unit,province,rx_time,title,type
新增项目,Ⅰ-1,1,台江县非物质文化遗产保护中心,贵州省台江县,2006</br>(第一批),苗族古歌,民间文学
新增项目,Ⅰ-1,1,黄平县非物质文化遗产保护中心,贵州省黄平县,2006</br>(第一批),苗族古歌,民间文学
扩展项目,Ⅰ-1,1,花垣县非物质文化遗产保护中心,湖南省花垣县,2011</br>(第三批),苗族古歌,民间文学
扩展项目,Ⅰ-1,1,清镇市文化馆,贵州省贵阳市清镇市,2021</br>(第五批),苗族古歌（簪汪传）,民间文学
新增项目,Ⅰ-2,2,田阳县文化馆,广西壮族自治区田阳县,2006</br>(第一批),布洛陀,民间文学
新增项目,Ⅰ-3,3,梁河县文化馆,云南省梁河县,2006</br>(第一批),遮帕麻和遮咪麻,民间文学
新增项目,Ⅰ-4,4,澜沧拉祜族自治县文化馆,云南省思茅市,2006</br>(第一批),牡帕密帕,民间文学
新增项目,Ⅰ-5,5,施秉县非物质文化遗产保护中心,贵州省施秉县,2006</br>(第一批),刻道,民间文学
新增项目,Ⅰ-6,6,镇江市非物质文化遗产保护中心,江苏省镇江市,2006</br>(第一批),白蛇传传说,民间文学
新增项目,Ⅰ-6,6,杭州市文化馆,浙江省杭州市,2006</br>(第一批),白蛇传传说,民间文学
新增项目,Ⅰ-7,7,宜兴市华夏梁祝文化研究会,江苏省宜兴市,2006</br>(第一批),梁祝传说,民间文学
新增项目,Ⅰ-7,7,宁波梁祝文化园管理有限公司,浙江省宁波市,2006</br>(第一批),梁祝传说,民间文学
新增项目,Ⅰ-7,7,杭州市文化馆,浙江省杭州市,2006</br>(第一批),梁祝传说,民间文学
新增项目,Ⅰ-7,7,绍兴市上虞区文化馆（区非物质遗产保护中心）,浙江省上虞市,2006</br>(第一批),梁祝传说,民间文学
新增项目,Ⅰ-7,7,济宁市梁祝文化研究会,山东省济宁市,2006</br>(第一批),梁祝传说,民间文学
新增项目,Ⅰ-7,7,汝南县文化馆,河南省汝南县,2006</br>(第一批),梁祝传说,民间文学
新增项目,Ⅰ-8,8,淄博市淄川区文化馆,山东省淄博市,2006</br>(第一批),孟姜女传说,民间文学
扩展项目,Ⅰ-8,8,秦皇岛市山海关区文化馆,河北省秦皇岛市,2008</br>(第二批),孟姜女传说,民间文学
扩展项目,Ⅰ-8,8,津市市文化馆（津市市美术馆）,湖南省津市市,2008</br>(第二批),孟姜女传说,民间文学
扩展项目,Ⅰ-8,8,莒县文化馆,山东省莒县,2011</br>(第三批),孟姜女传说,民间文学
扩展项目,Ⅰ-8,8,济南市文化馆（济南市非物质文化遗产保护中心）,山东省莱芜市莱城区,2014</br>(第四批),孟姜女传说,民间文学
新增项目,Ⅰ-9,9,万荣县文化馆,山西省万荣县,2006</br>(第一批),董永传说,民间文学
新增项目,Ⅰ-9,9,东台市文化馆,江苏省东台市,2006</br>(第一批),董永传说,民间文学
新增项目,Ⅰ-9,9,武陟县董永文化服务中心,河南省武陟县,2006</br>(第一批),董永传说,民间文学
新增项目,Ⅰ-9,9,孝感市群众艺术馆（孝感市非物质文化遗产保护中心）,湖北省孝感市,2006</br>(第一批),董永传说,民间文学
扩展项目,Ⅰ-9,9,常州市金坛区文化馆 ,江苏省金坛市,2008</br>(第二批),董永传说,民间文学
扩展项目,Ⅰ-9,9,博兴县文化馆,山东省博兴县,2008</br>(第二批),董永传说,民间文学
扩展项目,Ⅰ-9,9,丹阳市文化馆,江苏省丹阳市,2011</br>(第三批),董永传说,民间文学
新增项目,Ⅰ-10,10,诸暨市文化馆,浙江省诸暨市,2006</br>(第一批),西施传说,民间文学
新增项目,Ⅰ-11,11,台州市天台山文化研究会,浙江省天台县,2006</br>(第一批),济公传说,民间文学
