cate,num,num_sec,protect_unit,province,rx_time,title,type
新增项目,Ⅱ-1,1,左权县民歌研究中心,山西省左权县 ,2006</br>(第一批),左权开花调,传统音乐
新增项目,Ⅱ-2,2,河曲县二人台艺术研究中心,山西省河曲县 ,2006</br>(第一批),河曲民歌,传统音乐
新增项目,Ⅱ-3,3,内蒙古自治区艺术研究所（内蒙古自治区艺术档案馆）,内蒙古自治区,2006</br>(第一批),蒙古族长调民歌,传统音乐
扩展项目,Ⅱ-3,3,新疆巴音郭楞蒙古自治州文化馆,新疆维吾尔自治区巴音郭楞蒙古自治州,2008</br>(第二批),蒙古族长调民歌,传统音乐
扩展项目,Ⅱ-3,3,和布克赛尔蒙古自治县非物质文化遗产保护中心,新疆维吾尔自治区和布克赛尔蒙古自治县,2008</br>(第二批),蒙古族长调民歌,传统音乐
扩展项目,Ⅱ-3,3,新巴尔虎左旗文化馆,内蒙古自治区新巴尔虎左旗,2014</br>(第四批),蒙古族长调民歌（巴尔虎长调）,传统音乐
扩展项目,Ⅱ-3,3,西乌珠穆沁旗文化馆,内蒙古自治区锡林郭勒盟西乌珠穆沁旗,2021</br>(第五批),蒙古族长调民歌（乌珠穆沁长调）,传统音乐
新增项目,Ⅱ-4,4,内蒙古自治区艺术研究所（内蒙古自治区艺术档案馆）,内蒙古自治区,2006</br>(第一批),蒙古族呼麦,传统音乐
扩展项目,Ⅱ-4,4,阿勒泰市文化馆（阿勒泰市非物质文化遗产保护中心、阿勒泰市美术馆）,新疆维吾尔自治区阿勒泰地区,2008</br>(第二批),蒙古族呼麦,传统音乐
新增项目,Ⅱ-5,5,当涂县文化馆,安徽省马鞍山市,2006</br>(第一批),当涂民歌 ,传统音乐
新增项目,Ⅱ-6,6,巢湖市文化馆,安徽省巢湖市,2006</br>(第一批),巢湖民歌,传统音乐
新增项目,Ⅱ-7,7,宁德市艺术馆,福建省宁德市,2006</br>(第一批),畲族民歌,传统音乐
扩展项目,Ⅱ-7,7,景宁畲族自治县非物质文化遗产保护中心,浙江省景宁畲族自治县,2008</br>(第二批),畲族民歌,传统音乐
扩展项目,Ⅱ-7,7,泰顺县非物质文化遗产保护中心,浙江省泰顺县,2011</br>(第三批),畲族民歌,传统音乐
新增项目,Ⅱ-8,8,兴国县文化馆,"江西省兴国县　
",2006</br>(第一批),兴国山歌,传统音乐
新增项目,Ⅱ-9,9,兴山县文化馆,湖北省兴山县 ,2006</br>(第一批),兴山民歌,传统音乐
新增项目,Ⅱ-10,10,桑植县非物质文化遗产保护中心,湖南省桑植县,2006</br>(第一批),桑植民歌,传统音乐
新增项目,Ⅱ-11,11,梅州市文化馆（梅州市非物质文化遗产保护中心）,广东省梅州市,2006</br>(第一批),梅州客家山歌,传统音乐
新增项目,Ⅱ-12,12,中山市文化馆,广东省中山市,2006</br>(第一批),中山咸水歌,传统音乐
新增项目,Ⅱ-13,13,三亚市群众艺术馆,海南省三亚市,2006</br>(第一批),崖州民歌,传统音乐
扩展项目,Ⅱ-13,13,乐东黎族自治县文化馆,海南省乐东黎族自治县,2008</br>(第二批),崖州民歌,传统音乐
新增项目,Ⅱ-14,14,儋州市文化馆,海南省儋州市,2006</br>(第一批),儋州调声,传统音乐
新增项目,Ⅱ-15,15,石柱土家族自治县非物质文化遗产保护中心,重庆市石柱土家族自治县,2006</br>(第一批),石柱土家啰儿调　,传统音乐
新增项目,Ⅱ-16,16,巴中市文化馆,四川省巴中市,2006</br>(第一批),巴山背二歌,传统音乐
新增项目,Ⅱ-17,17,怒江傈僳族自治州文化馆,云南省怒江傈僳族自治州,2006</br>(第一批),傈僳族民歌,传统音乐
新增项目,Ⅱ-17,17,泸水市文化馆,云南省泸水县,2006</br>(第一批),傈僳族民歌,传统音乐
新增项目,Ⅱ-18,18,紫阳县文化馆,陕西省紫阳县,2006</br>(第一批),紫阳民歌 ,传统音乐
新增项目,Ⅱ-19,19,肃南裕固族自治县非物质文化遗产保护传承中心,甘肃省肃南裕固族自治县,2006</br>(第一批),裕固族民歌,传统音乐
新增项目,Ⅱ-20,20,康乐县文化馆,甘肃省康乐县,2006</br>(第一批),花儿（莲花山花儿会）,传统音乐
新增项目,Ⅱ-20,20,和政县文化馆,甘肃省和政县,2006</br>(第一批),花儿（松鸣岩花儿会）,传统音乐
新增项目,Ⅱ-20,20,岷县文化馆,甘肃省岷县,2006</br>(第一批),花儿（二郎山花儿会）,传统音乐
新增项目,Ⅱ-20,20,大通回族土族自治县文化馆,青海省大通回族土族自治县,2006</br>(第一批),花儿（老爷山花儿会）,传统音乐
新增项目,Ⅱ-20,20,互助土族自治县文化馆,青海省互助土族自治县,2006</br>(第一批),花儿（丹麻土族花儿会）,传统音乐
